Number,Name,Gender,Birth,Breed,ZipCode,IssuedDate,ExpiredDate
147978,NONI,M,2008,Shih Tzu,11206,3/9/2017,3/3/2018
231360,ELLIE,F,2017,Samoyed,10009,7/4/2017,7/4/2018
217703,BLACKJACK,M,2014,Dachshund Crossbreed,11220,2/3/2017,2/3/2018
191411,COOLIE,M,2014,Maltese,11411,10/2/2017,10/2/2018
97881,DULCINEA,F,2015,Chihuahua,10040,12/16/2016,12/16/2017
235434,ROJAK,M,2017,Australian Shepherd,11205,8/7/2017,8/7/2019
15522,RUTHIE,F,2013,Boston Terrier,10019,6/23/2015,1/2/2016
34701,TEDDY,M,2011,Pomeranian,10305,1/26/2016,12/27/2016
137153,BENJII,M,2015,American Pit Bull Mix / Pit Bull Mix,10031,12/26/2016,12/26/2017
159698,SWEETIE,F,2013,Unknown,11372,5/12/2017,5/12/2019
6674,MAX,M,2007,"Bull Dog, English",11211,3/19/2015,3/19/2016
281339,BAMBO,M,2010,"Poodle, Standard",10305,6/29/2018,6/20/2019
198010,SIR,M,2007,Dachshund Smooth Coat Miniature,10023,11/7/2017,12/30/2018
85405,BOOTS,M,2009,"Collie, Border",10464,10/3/2016,11/16/2017
118143,CARMELO,M,2011,Shih Tzu,10024,6/9/2016,6/9/2018
155132,MIDNIGHT,M,2016,Maltese Crossbreed,10455,4/19/2017,4/19/2018
149793,HARLEY,F,2016,Labrador Retriever Crossbreed,11356,3/19/2017,3/19/2018
150122,MILO,M,2012,Shih Tzu,11105,3/21/2017,11/11/2017
11431,ONYX,M,2013,"Bull Dog, English",11201,5/8/2015,4/4/2017
94504,WILSON,M,2016,French Bulldog,11201,11/25/2016,11/25/2017
90885,PLUTO,M,2010,Unknown,11209,11/2/2016,9/16/2017
110801,LULU,F,2015,Labrador Retriever,11222,3/18/2016,3/18/2017
200119,COCO,F,2006,Scottish Terrier,10025,11/20/2017,11/29/2018
201437,COCO,F,2010,Jack Russell Terrier,11237,11/29/2017,1/10/2019
97865,MAX,M,2008,Boston Terrier,10024,12/16/2016,12/16/2017
136525,ONYX,M,2012,American Pit Bull Terrier/Pit Bull,11231,12/18/2016,12/26/2018
112549,NEVAEH,F,2005,Unknown,10023,4/7/2016,3/30/2017
22605,BOBBY,M,2012,Chihuahua,11377,9/14/2015,9/1/2016
215729,WRIGLEY,M,2013,Australian Shepherd,10128,1/5/2017,1/5/2018
180274,LOLA,F,2008,Maltese,11365,8/15/2017,7/14/2018
233760,MR.,M,2012,Terrier mix,11230,7/26/2017,7/26/2018
224679,DUSTY,M,2008,Chihuahua,11378,4/27/2017,5/29/2018
300714,CHLOE,F,2013,Bichon Frise,11221,10/31/2018,11/13/2019
166280,JR,M,2006,Labrador Retriever Crossbreed,11225,6/13/2017,5/11/2019
182024,KOUKLA,F,2006,"Poodle, Standard",11230,8/24/2017,9/29/2018
254597,SCOUT,M,2010,Chihuahua,10026,1/29/2018,1/29/2019
157064,SAM,M,2005,Samoyed,10309,4/29/2017,5/30/2018
251337,MUFASA,M,2015,American Pit Bull Mix / Pit Bull Mix,11208,1/9/2018,1/9/2019
289692,MARLA,M,2016,American Bully,11205,8/18/2018,8/18/2019
147669,JAYCE,M,2016,Maltese,11422,3/8/2017,3/8/2022
150781,JESTER,M,2012,German Shepherd Dog,11416,3/25/2017,3/25/2018
270058,REGGIE,M,2012,Labrador Retriever Crossbreed,10005,4/23/2018,5/12/2020
190158,MINDY,F,2008,Yorkshire Terrier,10019,9/25/2017,9/25/2021
79097,BROWNIE,M,2012,Morkie,10038,9/2/2016,10/23/2017
146928,SKITTLES,F,2017,Labrador Retriever,11212,3/3/2017,3/3/2018
216095,PATCHES,M,2013,American Pit Bull Mix / Pit Bull Mix,11693,1/11/2017,1/11/2018
36009,OLIVE,F,2007,Unknown,11377,2/2/2016,3/17/2017
295041,BOND,M,2016,Manchester Terrier,10301,9/22/2018,9/22/2019
5977,STELLA,F,2012,"Bull Dog, English",10314,3/9/2015,3/9/2016
228886,ELI,M,2016,Labrador Retriever Crossbreed,11358,6/9/2017,6/9/2018
52999,SANCHO,M,2015,Manchester Terrier,10027,5/3/2016,5/3/2021
284520,BELLA,F,2014,Terrier mix,10457,7/18/2018,7/18/2019
238620,POMERANIAN,M,2017,Pomeranian,10069,9/6/2017,9/6/2018
190600,SHADOW,M,2017,Chihuahua,10035,9/28/2017,9/28/2018
238927,HUGO,M,2016,Goldendoodle,10003,9/9/2017,9/9/2022
222899,MACKIE,M,2016,Shih Tzu Crossbreed,10036,4/8/2017,4/8/2018
200513,GRETEL,F,2009,Pug,10031,11/22/2017,10/23/2018
239066,MISSY,F,2013,Yorkshire Terrier,10035,9/11/2017,8/4/2018
128771,MAMA,F,2012,Pug Crossbreed,11233,9/24/2016,9/24/2017
105548,BUTTERSCOTCH,M,2008,Terrier mix,10024,1/5/2016,1/5/2021
252549,BELLA,F,2015,Dachshund Crossbreed,11210,1/17/2018,12/28/2018
45002,CANDY,F,2013,Shih Tzu,11234,3/24/2016,4/8/2017
20597,HARRY,M,2010,Pomeranian,11373,8/18/2015,8/28/2018
149917,DIEGO,M,2010,Tibetan Spaniel,11203,3/20/2017,3/19/2018
10871,ELLIE,F,2010,Labrador Retriever,10013,5/1/2015,5/1/2016
89197,POOCHIE,F,2009,Chihuahua,10472,10/23/2016,10/23/2018
175135,BERNIE,M,2008,Cavalier King Charles Spaniel,10014,7/25/2017,8/27/2018
301499,LUCKY,F,2011,Chihuahua,11364,11/5/2018,11/24/2019
242844,BENTLEY,M,2010,Rhodesian Ridgeback,11238,10/17/2017,9/16/2018
206141,COOPER,M,2016,Goldendoodle,10010,12/28/2017,1/24/2019
38001,CHASE,M,2015,Yorkshire Terrier,10467,2/14/2016,2/14/2017
107364,OREO,M,2012,Chihuahua,10452,2/4/2016,2/4/2017
295008,GRAE,M,2008,Cane Corso,10027,9/22/2018,11/3/2019
254292,EVE,F,2017,American Pit Bull Mix / Pit Bull Mix,10029,1/28/2018,1/28/2019
90581,LUST,M,2012,German Shepherd Dog,11357,10/31/2016,11/6/2017
